ship-city,count
sudarsan nagar,True
badarwas,True
warisaliganj,True
pazhuvil west,True
usar,True
shirthady,True
"navi mumbai,thane",True
jadugora,True
pareo,True
guntur  district,True
torangallu,True
muniyappan kovil,True
bakhri,True
palakkadpalakkad,True
sangole,True
mailladudurai,True
elappara,True
chopra,True
riico industrial area gudli,True
nawabganj,True
gokul shirgaon midc,True
chitranjan,True
sakhinetipalli,True
ntpc dadri,True
nuapatna,True
trikaripur,True
naidupeta,True
carona,True
attabira,True
bankra,True
dostpur,True
gurmatkal,True
mandya district,True
elchuru,True
supa midc,True
chelpur,True
nagbhid,True
khalapur,True
kashimnagar,True
shiroda,True
charummoodu,True
pachmarhi,True
saila  khurd,True
milakpur,True
hukeri,True
tathawade  pune,True
sonatala,True
gautam budha nagar,True
sanoor,True
madhupur,True
kanjiramattom,True
elakamon,True
khanivali,True
pebbair,True
chakmano,True
supane,True
nawkothi,True
mulgund,True
vazhayur,True
"mohli, dharamshala",True
elanji p.o,True
"peringara p o,tiruvalla",True
ladwa state,True
padiyam,True
meham,True
kovvuru,True
thrikakara,True
north kalamassery,True
kothapalle,True
deralakatte,True
konni,True
cepz,True
murum,True
pallikoda,True
alnavar,True
nilakkottai,True
paharpur,True
padmapur,True
kechery,True
lawan,True
jamda,True
chikiti,True
narela,True
siana,True
dediapada,True
niuland,True
nazra,True
