ship-city,count
khatra,True
chakapara,True
mira bhayandar,True
nellithope,True
"shankargarh, district",True
lala,True
kengeri,True
sathankulam,True
dhariwal. teh & distt gurdaspur,True
pokharan road,True
tal. shahapur,True
balapur,True
near counselor house basanti dey biswas,True
amalsad,True
bagnan,True
nalanda,True
kampli,True
bakshi ka talab,True
kurduwadi,True
opposite air force station,True
ernad,True
balipara,True
olpad,True
badkulla,True
lehragaga,True
jakholi,True
maduravoyal,True
savlem pilerne,True
tuchamakeri,True
nadakkavu,True
halvad,True
aligang,True
karkamb,True
achhnera,True
raighar,True
chiraiyakot,True
nileshwaram,True
karnaprayag,True
sarangpur,True
edappadi,True
kathhara,True
rupbas,True
virpur,True
badnapur,True
kootikada,True
parikshitgarh,True
thorapadi,True
barauli,True
district petlad,True
"palarivattom, ernakulam",True
khetri nagar,True
jarwal,True
nadakuduru,True
marudur,True
udaipurwati jhunjhunu,True
karhal,True
"new panvel, raigarh",True
thallur,True
owe gaon,True
villiappally,True
sultanpur lodhi,True
amarpatan,True
"(via cuncolim)quepem,south goa",True
jairampur,True
missamari,True
dukli,True
nangloi,True
hemgir,True
sheosagar,True
kottayampoil,True
chunchale,True
bandikui,True
keelakarai,True
hasnabad,True
sadabad,True
keezhkulam,True
karanpur,True
rudraram,True
bakani,True
tikari,True
kanjiramkulam,True
utnur,True
palakonda/srikakulam(dist,True
guduvancherry,True
chenani,True
bramhapuri,True
